iter	Passed	Remaining
0	0	800
1	1	737
2	2	697
3	2	693
4	3	684
5	4	668
6	4	657
7	5	649
8	5	640
9	6	637
10	7	636
11	7	635
12	8	632
13	8	626
14	9	624
15	10	621
16	10	619
17	11	614
18	11	612
19	12	610
20	13	608
21	13	606
22	14	605
23	14	604
24	15	602
25	16	602
26	16	600
27	17	601
28	17	598
29	18	599
30	19	599
31	19	596
32	20	594
33	20	595
34	21	594
35	22	594
36	22	594
37	23	594
38	24	592
39	24	591
40	25	591
41	25	591
42	26	590
43	27	590
44	27	589
45	28	588
46	29	589
47	29	590
48	30	591
49	31	591
50	31	591
51	32	590
52	33	590
53	33	589
54	34	588
55	34	588
56	35	587
57	36	586
58	36	585
59	37	583
60	37	582
61	38	581
62	39	580
63	39	579
64	40	579
65	40	578
66	41	576
67	41	572
68	42	571
69	42	571
70	43	570
71	44	570
72	44	570
73	45	569
74	46	568
75	46	566
76	47	566
77	47	564
78	48	563
79	48	563
80	49	562
81	50	561
82	50	560
83	51	560
84	51	557
85	52	556
86	52	553
87	53	553
88	54	552
89	54	552
90	55	551
91	55	551
92	56	550
93	57	549
94	57	550
95	58	550
96	59	550
97	59	551
98	60	550
99	61	550
100	61	549
101	62	546
102	62	546
103	63	545
104	63	545
105	64	544
106	65	543
107	65	542
108	66	542
109	66	541
110	67	541
111	68	540
112	68	539
113	69	538
114	69	537
115	70	535
116	70	535
117	71	535
118	72	533
119	72	533
120	73	533
121	73	532
122	74	529
123	74	528
124	75	528
125	76	527
126	76	527
127	77	524
128	77	524
129	78	523
130	78	522
131	79	522
132	80	521
133	80	520
134	81	520
135	81	519
136	82	519
137	82	517
138	83	517
139	84	516
140	84	515
141	85	514
142	85	514
143	86	515
144	87	515
145	88	516
146	88	515
147	89	515
148	90	515
149	90	514
150	91	514
151	92	514
152	92	513
153	93	512
154	93	512
155	94	511
156	95	511
157	95	510
158	96	510
159	97	509
160	97	508
161	98	508
162	98	507
163	99	507
164	100	506
165	100	506
166	101	506
167	102	505
168	102	505
169	103	504
170	103	504
171	104	503
172	105	502
173	105	502
174	106	501
175	107	501
176	107	500
177	108	499
178	108	499
179	109	498
180	109	496
181	110	495
182	110	495
183	111	494
184	112	494
185	112	493
186	113	492
187	113	491
188	114	491
189	115	490
190	115	490
191	116	489
192	116	488
193	117	488
194	118	487
195	118	487
196	119	486
197	119	485
198	120	485
199	121	484
200	121	483
201	122	483
202	122	482
203	123	482
204	124	481
205	124	480
206	125	480
207	125	479
208	126	478
209	127	477
210	127	477
211	128	477
212	129	476
213	129	476
214	130	476
215	131	475
216	131	475
217	132	474
218	132	473
219	133	473
220	134	472
221	134	472
222	135	471
223	136	471
224	136	470
225	137	469
226	137	469
227	138	468
228	138	467
229	139	467
230	140	466
231	140	465
232	141	465
233	141	464
234	142	464
235	143	463
236	143	462
237	144	462
238	145	461
239	145	461
240	146	460
241	146	459
242	147	459
243	148	458
244	148	458
245	149	457
246	149	457
247	150	456
248	151	455
249	151	455
250	152	454
251	152	453
252	153	453
253	154	452
254	154	451
255	155	451
256	155	450
257	156	449
258	157	449
259	157	448
260	158	447
261	158	447
262	159	446
263	159	445
264	160	445
265	161	444
266	161	443
267	162	442
268	162	442
269	163	441
270	163	440
271	164	440
272	165	439
273	165	438
274	166	438
275	166	437
276	167	437
277	168	436
278	168	435
279	169	435
280	170	435
281	170	434
282	171	434
283	172	434
284	172	433
285	173	433
286	174	432
287	174	431
288	175	431
289	175	430
290	176	429
291	177	429
292	177	428
293	178	427
294	178	427
295	179	426
296	179	426
297	180	425
298	181	424
299	181	424
300	182	423
301	183	423
302	183	422
303	184	422
304	185	421
305	185	421
306	186	420
307	187	420
308	187	419
309	188	419
310	189	418
311	189	418
312	190	417
313	191	417
314	191	417
315	192	416
316	193	416
317	193	415
318	194	415
319	195	414
320	195	414
321	196	413
322	197	413
323	197	412
324	198	412
325	199	411
326	199	411
